game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
2021,Australian National,William Joanna,Hughes Scott,28,24,29,f5d6c4g5c6c5d7d3b4c3e3b5f6f3c2a4d2b6b3e2a3c7g6f4c8a2e6c1a6d8e8e7f8g4f7h6d1e1g3f2h4h5h3h2g1b7g7g2b8a8a7g8h1f1h7a5b2b1a1h8
2021,Beijing Open,Bi Wenyuan,Wang Wuquan,15,24,15,f5d6c6f4f3e3d3e2e6c4e1g4c3d2d1c1b1c2h4f6c5g6h7d7d8g5e7c8b8c7e8f8g8f7g3b6a6b3a3f1g1f2b5h6h5h3h2b7a7a8g7g2h8h1a1a5b4a4a2b2
2021,Beijing Open,Chen Xun,Wang Wuquan,54,24,42,f5d6c3d3c4f4f6b4f3e6e3f2d2g3g5h5g6e7f1c2f7h6c5d1h3c6c7d7c8d8b5a6b6e2e8f8g8a7e1g1g2h4g4g7a5a4a3a2b3h2h1b8a8b2b7c1b1a1h7h8
2021,Beijing Open,Chen Xun,Zhu Linyun,35,24,34,f5d6c3d3c4f4f6g5e6c5f3b5b4f7e7e3d2a4e2b6b3c2g4e1c1g6h5h4h3f1f2g1a6a5h6c6a3c7e8g7h8g3c8d8d7b7b1h7a7d1g8f8h1h2g2a2a8b8b2a1
2021,Beijing Open,Chen Xun,Chen Kai,35,24,37,f5d6c3d3c4f4f6g5e6d7c7e7e3c6c5b6f8f3f7e8d8b5b4a3a6a5g4c2e2g6h5h3d2h7b7c8b8a8a7g8a4b3b1f1b2a1a2e1f2g1g2h1h4d1c1h6h2g3h8g7
2021,British Nationals,Hand David,Leader Imre,38,24,37,f5d6c3d3c4f4f6f3e6e7d7g6d8c5c6c7c8f7g8b5b6b4a3a4e3a6b3e2d2f2e1f8e8b7g5g3g4h5h3h4h6f1g1g7h8d1c2c1b1h7g2h1h2a1b2a2a7a8b8a5
2021,Campeonato Argentino,Perez Rafael,Chiesa Nicolas,60,24,52,f5f4e3f6d3c4f3e6g4h3c5g3c3f2c6b3d2c1e2d1e1f1c2b1a3b5b6b4d6a4a5a7f7f8g6h5h6h7g5e7h4c7h8g7g8d7h2g2c8d8h1a6g1a2e8b8a1a8b7b2
2021,Campeonato Argentino,Garcia Leandro,Dottore Matias,54,24,57,f5f6e6f4e3c5g5h5d6f3c4b4d3c7d7c6e7d8b5a5g6h6g4h4e8f8f7c2c3d2b3a3e2e1f2f1a6b6c8b8c1b2b1a7a4a2a8d1g1g2b7g8a1g7h1g3h3h2h7
2021,Campeonato Argentino,Lucioli Juan Pablo,Roldan Matias,61,24,54,f5f4e3f6d3c5d6d2e2c7e6d7f7c3c6b5c4c2b4f1a6f3b6f8f2e7b3a4c8g1d1b2a3b8a5d8e8b7a8c1g8e1a7a1a2b1g7g6h6h7h8h5g5g3g4h4h3h2h1g2
2021,Campeonato Argentino,Olivares Daniel,Olivares Diego,55,24,60,f5f4e3f6d3d2e2f2f1c4c1c5g1c2d6e6b1c3b3c6d7e7f3d8b4e1d1a2a4b2b5g2b6a6a5a3a1a7b7g6c7a8h6f8g5b8c8e8f7g7g8h8h7h5g4h4g3h3h2h1
